"cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"429184802","2019-07-09T00:00:00.000","15:34:00",,,"52","2019-07-09T00:00:00.000","348","VEHICLE AND TRAFFIC LAWS","918.0","RECKLESS DRIVING","COMPLETED","MISDEMEANOR","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1017478","256069","18-24","WHITE HISPANIC","M",,"40.86947047700004","-73.87986080399996","(40.86947047700004, -73.87986080399996)","PATROL BORO BRONX",,"UNKNOWN","UNKNOWN","E"
"447699348","2019-07-09T00:00:00.000","08:45:00","2019-07-09T00:00:00.000","20:15:00","110","2019-07-09T00:00:00.000","107","BURGLARY","221.0","BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","QUEENS","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0.0",,,,"1015307","210923",,,,,"40.745565190000036","-73.88791921199999","(40.745565190000036, -73.88791921199999)","PATROL BORO QUEENS NORTH",,"25-44","WHITE","M"
"764616741","2019-07-08T00:00:00.000","17:30:00","2019-07-09T00:00:00.000","12:00:00","62","2019-07-09T00:00:00.000","107","BURGLARY","213.0","BURGLARY,COMMERCIAL,NIGHT","COMPLETED","FELONY","BROOKLYN","INSIDE","CONSTRUCTION SITE","N.Y. POLICE DEPT","0.0",,,,"983503","158624",,,,,"40.60207069800003","-74.00269150899999","(40.60207069800003, -74.00269150899999)","PATROL BORO BKLYN SOUTH",,"45-64","ASIAN / PACIFIC ISLANDER","M"
"130398506","2019-07-08T00:00:00.000","12:00:00","2019-07-09T00:00:00.000","15:00:00","123","2019-07-09T00:00:00.000","340","FRAUDS","718.0","FRAUD,UNCLASSIFIED-MISDEMEANOR","COMPLETED","MISDEMEANOR","STATEN ISLAND","INSIDE","OTHER","N.Y. POLICE DEPT","0.0",,,,"914928","125757",,,,,"40.51158633800003","-74.24930372699998","(40.51158633800003, -74.24930372699998)","PATROL BORO STATEN ISLAND",,"25-44","WHITE","F"
"237014041","2019-07-01T00:00:00.000","19:00:00","2019-07-01T00:00:00.000","19:05:00","75","2019-07-09T00:00:00.000","341","PETIT LARCENY","321.0","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","BROOKLYN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1020883","186528",,,,,"40.678585447000046","-73.867928636","(40.678585447000046, -73.867928636)","PATROL BORO BKLYN NORTH",,"45-64","BLACK","M"
"936678712","2019-05-17T00:00:00.000","03:10:00","2019-05-19T00:00:00.000","21:01:00","43","2019-07-09T00:00:00.000","341","PETIT LARCENY","349.0","LARCENY,PETIT OF LICENSE PLATE","COMPLETED","MISDEMEANOR","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1020219","239110",,,,,"40.82291230800007","-73.87004130399998","(40.82291230800007, -73.87004130399998)","PATROL BORO BRONX",,"25-44","WHITE","F"
"943565559","2019-07-08T00:00:00.000","17:40:00",,,"71","2019-07-08T00:00:00.000","101","MURDER & NON-NEGL. MANSLAUGHTER",,,"COMPLETED","FELONY",,"OUTSIDE",,"N.Y. POLICE DEPT",,,,,"1002948","182618","18-24","BLACK","M",,"40.66790942700004","-73.93260042799993","(40.66790942700004, -73.93260042799993)",,,"25-44","BLACK","M"
"747813457","2019-07-08T00:00:00.000","14:27:00","2019-07-08T00:00:00.000","14:35:00","47","2019-07-08T00:00:00.000","105","ROBBERY","397.0","ROBBERY,OPEN AREA UNCLASSIFIED","COMPLETED","FELONY","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1028629","260885","<18","BLACK","M",,"40.88263987200002","-73.83951092299998","(40.88263987200002, -73.83951092299998)","PATROL BORO BRONX",,"<18","BLACK","M"
"265630832","2019-07-07T00:00:00.000","14:51:00","2019-07-07T00:00:00.000","15:00:00","49","2019-07-07T00:00:00.000","114","ARSON","263.0","ARSON 2,3,4","COMPLETED","FELONY","BRONX","INSIDE","RESIDENCE-HOUSE","OTHER","97.0",,,,"1022055","246883",,,,,"40.844239265000056","-73.863363829","(40.844239265000056, -73.863363829)","PATROL BORO BRONX",,"UNKNOWN","UNKNOWN","E"
"189492814","2019-07-06T00:00:00.000","02:00:00","2019-07-06T00:00:00.000","02:07:00","40","2019-07-06T00:00:00.000","116","SEX CRIMES","177.0","SEXUAL ABUSE","COMPLETED","FELONY","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1004926","234532","45-64","BLACK HISPANIC","M",,"40.81039601900005","-73.92531074499993","(40.81039601900005, -73.92531074499993)","PATROL BORO BRONX",,"25-44","WHITE","F"
"949686710","2019-07-05T00:00:00.000","22:55:00",,,"48","2019-07-06T00:00:00.000","117","DANGEROUS DRUGS","521.0","CONTROLLED SUBSTANCE, SALE 5","ATTEMPTED","FELONY","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1014373","247302",,,,,"40.84541884300006","-73.89112676599996","(40.84541884300006, -73.89112676599996)","PATROL BORO BRONX",,"UNKNOWN","UNKNOWN","E"
